store_id,total_orders,total_delivered,total_gtv,avg_delivery_time,avg_on_time_pct,avg_stockout_cancels,fulfillment_rate_pct,stockout_cancel_rate_pct,orders_per_day,city,city_tier,perf_score,tier
DS1036,16687,15876,3272696.0,13.76,64.16,618,95.14,3.7,92.2,Lucknow,Tier 2,0.10626980273907911,Mid Third
DS1020,23312,22294,4538458.0,18.05,35.24,738,95.63,3.17,128.8,Jaipur,Tier 2,0.10349971393736408,Mid Third
DS1007,36423,34658,8174350.0,13.82,62.88,1355,95.15,3.72,201.2,Mumbai,Tier 1,0.05519967885235947,Mid Third
DS1056,47511,45392,10707538.0,17.3,36.43,1549,95.54,3.26,262.5,Delhi NCR,Tier 1,-0.02305438614462955,Mid Third
DS1018,18228,17405,3565695.0,16.51,38.51,613,95.48,3.36,100.7,Bhopal,Tier 2,-0.10276451824802646,Mid Third
DS1051,37749,36029,8679263.0,16.33,39.35,1271,95.44,3.37,208.6,Chennai,Tier 1,-0.12105526297609771,Mid Third
DS1031,33243,31686,7534498.0,15.3,48.18,1189,95.32,3.58,183.7,Mumbai,Tier 1,-0.13807042365190256,Mid Third
DS1027,29731,28346,6732811.0,15.92,43.3,1028,95.34,3.46,164.3,Mumbai,Tier 1,-0.16703343660827882,Mid Third
DS1054,43404,41401,9939051.0,16.57,38.46,1451,95.39,3.34,239.8,Pune,Tier 1,-0.1674783452715328,Mid Third
DS1014,35159,33578,8092656.0,19.48,35.0,1171,95.5,3.33,194.2,Hyderabad,Tier 1,-0.17077842982305633,Mid Third
DS1043,19393,18411,3826185.0,13.52,67.01,759,94.94,3.91,107.1,Indore,Tier 2,-0.17756817410392553,Mid Third
DS1005,27863,26603,6363141.0,16.9,37.24,950,95.48,3.41,153.9,Pune,Tier 1,-0.19043294954506063,Mid Third
DS1034,34824,33207,7908573.0,16.33,41.47,1202,95.36,3.45,192.4,Mumbai,Tier 1,-0.19904525034034617,Mid Third
DS1012,38433,36613,8642987.0,15.86,44.13,1341,95.26,3.49,212.3,Bengaluru,Tier 1,-0.24050757225782715,Mid Third
DS1008,39034,37231,8726343.0,18.48,35.08,1291,95.38,3.31,215.7,Chennai,Tier 1,-0.25848851015180835,Bottom Third
DS1023,41450,39404,9426064.0,14.77,53.09,1524,95.06,3.68,229.0,Mumbai,Tier 1,-0.3073169457928641,Bottom Third
DS1000,41175,39275,9233222.0,17.11,36.43,1438,95.39,3.49,227.5,Pune,Tier 1,-0.3726666111717936,Bottom Third
DS1019,43299,41312,9767809.0,18.77,35.01,1499,95.41,3.46,239.2,Hyderabad,Tier 1,-0.37279423707218334,Bottom Third
DS1052,19169,18255,3783273.0,16.06,41.04,678,95.23,3.54,105.9,Jaipur,Tier 2,-0.4145111358388378,Bottom Third
DS1022,26960,25627,5328486.0,15.04,49.74,997,95.06,3.7,149.0,Lucknow,Tier 2,-0.4346966742386283,Bottom Third
DS1046,30375,28917,6930528.0,16.51,40.01,1083,95.2,3.57,167.8,Bengaluru,Tier 1,-0.5030360755292448,Bottom Third
DS1028,31452,29935,6149696.0,15.94,41.98,1158,95.18,3.68,173.8,Bhopal,Tier 2,-0.55931076764099,Bottom Third
DS1048,37220,35394,8347241.0,15.78,44.18,1371,95.09,3.68,205.6,Mumbai,Tier 1,-0.5695080552739048,Bottom Third
DS1041,19927,18974,3848374.0,17.52,35.46,714,95.22,3.58,110.1,Lucknow,Tier 2,-0.6419642875754863,Bottom Third
DS1025,20200,19210,3963453.0,15.99,41.5,743,95.1,3.68,111.6,Jaipur,Tier 2,-0.6474854636117823,Bottom Third
DS1033,15086,14356,2988870.0,19.39,35.0,531,95.16,3.52,83.3,Jaipur,Tier 2,-0.6556431096696763,Bottom Third
DS1037,25564,24316,4975032.0,17.05,36.34,943,95.12,3.69,141.2,Lucknow,Tier 2,-0.8062273762616133,Bottom Third
DS1001,36950,35144,8287269.0,18.88,35.06,1352,95.11,3.66,204.1,Bengaluru,Tier 1,-0.8290264407032556,Bottom Third
DS1011,32179,30592,7233588.0,18.82,35.0,1185,95.07,3.68,177.8,Pune,Tier 1,-0.8858339054447133,Bottom Third
DS1057,32644,30987,7429052.0,17.2,37.46,1263,94.92,3.87,180.4,Delhi NCR,Tier 1,-1.1184081335135765,Bottom Third
DS1003,20307,19268,3994915.0,16.07,40.63,810,94.88,3.99,112.2,Lucknow,Tier 2,-1.1631343420248572,Bottom Third
DS1040,34503,32754,7800817.0,17.81,35.23,1331,94.93,3.86,190.6,Hyderabad,Tier 1,-1.1724854862177618,Bottom Third
DS1050,26869,25383,6035876.0,14.44,56.44,1158,94.47,4.31,148.4,Chennai,Tier 1,-1.3186616051861035,Bottom Third
DS1045,35390,33335,7954882.0,14.41,56.52,1605,94.19,4.54,195.5,Delhi NCR,Tier 1,-1.783623641462342,Bottom Third
