date,store_id,city,city_tier,treatment_group,orders_placed,orders_delivered,orders_cancelled_stockout,orders_cancelled_other,avg_delivery_time_min,pct_on_time_15min,gtv_inr
2026-01-03,DS1041,Lucknow,Tier 2,control,111,107,2,2,16.38,36.7,18191.0
2026-01-03,DS1042,Jaipur,Tier 2,control,104,101,2,1,17.05,35.0,19842.0
2026-01-03,DS1043,Indore,Tier 2,control,107,100,5,2,12.63,71.1,18042.0
2026-01-03,DS1044,Bengaluru,Tier 1,treated,169,162,5,2,16.08,35.0,39163.0
2026-01-03,DS1045,Delhi NCR,Tier 1,treated,179,172,7,0,14.39,53.5,42271.0
2026-01-03,DS1046,Bengaluru,Tier 1,treated,161,155,2,4,16.38,35.0,34618.0
2026-01-03,DS1047,Bengaluru,Tier 1,treated,146,138,5,3,19.76,35.0,33576.0
2026-01-03,DS1048,Mumbai,Tier 1,treated,182,172,8,2,17.19,35.0,40324.0
2026-01-03,DS1049,Jaipur,Tier 2,control,122,114,8,0,14.7,51.8,22555.0
2026-01-03,DS1050,Chennai,Tier 1,control,128,123,3,2,14.69,54.3,27977.0
2026-01-03,DS1051,Chennai,Tier 1,control,205,199,5,1,15.26,53.0,52065.0
2026-01-03,DS1052,Jaipur,Tier 2,control,108,103,4,1,14.86,50.1,20177.0
2026-01-03,DS1053,Bhopal,Tier 2,control,87,83,2,2,13.18,67.8,16056.0
2026-01-03,DS1054,Pune,Tier 1,control,217,209,6,2,17.02,35.0,43922.0
2026-01-03,DS1055,Delhi NCR,Tier 1,treated,175,170,4,1,15.57,41.3,36730.0
2026-01-03,DS1056,Delhi NCR,Tier 1,treated,256,243,7,6,18.2,35.0,66306.0
2026-01-03,DS1057,Delhi NCR,Tier 1,treated,187,177,6,4,17.17,35.0,45980.0
2026-01-03,DS1058,Chennai,Tier 1,control,197,191,6,0,16.05,37.3,48925.0
2026-01-03,DS1059,Mumbai,Tier 1,treated,175,169,6,0,14.95,54.1,31502.0
2026-01-04,DS1000,Pune,Tier 1,control,197,187,6,4,16.48,42.0,40160.0
2026-01-04,DS1001,Bengaluru,Tier 1,treated,156,146,8,2,17.97,35.0,39279.0
2026-01-04,DS1002,Mumbai,Tier 1,treated,176,172,4,0,14.64,48.6,45661.0
2026-01-04,DS1003,Lucknow,Tier 2,control,89,89,0,0,16.69,38.1,19456.0
2026-01-04,DS1004,Pune,Tier 1,control,140,133,5,2,13.93,66.5,32175.0
2026-01-04,DS1005,Pune,Tier 1,control,114,109,2,3,16.91,35.0,28108.0
2026-01-04,DS1006,Pune,Tier 1,control,189,179,5,5,15.23,45.0,37836.0
2026-01-04,DS1007,Mumbai,Tier 1,treated,153,147,3,3,13.88,61.8,29232.0
2026-01-04,DS1008,Chennai,Tier 1,control,164,160,4,0,17.28,35.0,41117.0
2026-01-04,DS1009,Hyderabad,Tier 1,control,185,173,8,4,16.12,35.1,46057.0
2026-01-04,DS1010,Lucknow,Tier 2,control,75,70,3,2,19.74,35.0,14565.0
2026-01-04,DS1011,Pune,Tier 1,control,152,146,4,2,18.0,35.0,29917.0
2026-01-04,DS1012,Bengaluru,Tier 1,treated,172,162,8,2,14.88,49.7,36724.0
2026-01-04,DS1013,Pune,Tier 1,control,185,178,4,3,15.96,35.0,44160.0
2026-01-04,DS1014,Hyderabad,Tier 1,control,149,145,3,1,20.83,35.0,30104.0
2026-01-04,DS1015,Jaipur,Tier 2,control,115,110,3,2,17.06,35.0,24757.0
2026-01-04,DS1016,Mumbai,Tier 1,treated,174,168,4,2,16.24,35.0,48149.0
2026-01-04,DS1017,Chennai,Tier 1,control,130,121,6,3,14.05,60.1,35683.0
2026-01-04,DS1018,Bhopal,Tier 2,control,80,74,5,1,18.31,35.0,17107.0
2026-01-04,DS1019,Hyderabad,Tier 1,control,192,180,9,3,18.04,35.0,44365.0
2026-01-04,DS1020,Jaipur,Tier 2,control,102,99,2,1,18.37,35.0,19078.0
2026-01-04,DS1021,Bengaluru,Tier 1,treated,109,105,2,2,16.06,35.5,27378.0
2026-01-04,DS1022,Lucknow,Tier 2,control,124,116,7,1,15.93,39.6,23281.0
2026-01-04,DS1023,Mumbai,Tier 1,treated,183,178,4,1,15.39,43.0,52352.0
2026-01-04,DS1024,Mumbai,Tier 1,treated,206,196,7,3,17.06,35.0,48312.0
2026-01-04,DS1025,Jaipur,Tier 2,control,104,99,4,1,15.18,50.7,17518.0
2026-01-04,DS1026,Delhi NCR,Tier 1,treated,147,143,4,0,17.77,35.0,32648.0
2026-01-04,DS1027,Mumbai,Tier 1,treated,137,130,4,3,16.1,39.3,36458.0
2026-01-04,DS1028,Bhopal,Tier 2,control,143,135,7,1,14.97,49.8,23745.0
2026-01-04,DS1029,Jaipur,Tier 2,control,82,77,5,0,16.01,35.0,17069.0
2026-01-04,DS1030,Pune,Tier 1,control,226,217,5,4,15.65,39.2,61047.0
2026-01-04,DS1031,Mumbai,Tier 1,treated,146,138,6,2,15.72,35.2,32964.0
2026-01-04,DS1032,Chennai,Tier 1,control,165,159,3,3,17.04,35.0,41462.0
2026-01-04,DS1033,Jaipur,Tier 2,control,79,73,5,1,19.88,35.0,14973.0
2026-01-04,DS1034,Mumbai,Tier 1,treated,161,154,6,1,16.76,35.0,31126.0
2026-01-04,DS1035,Pune,Tier 1,control,185,182,3,0,14.51,53.2,43889.0
2026-01-04,DS1036,Lucknow,Tier 2,control,66,63,2,1,13.45,64.1,14304.0
2026-01-04,DS1037,Lucknow,Tier 2,control,116,113,3,0,17.51,35.0,22940.0
2026-01-04,DS1038,Delhi NCR,Tier 1,treated,188,187,1,0,14.36,61.9,45739.0
2026-01-04,DS1039,Lucknow,Tier 2,control,89,87,2,0,14.31,63.1,16354.0
2026-01-04,DS1040,Hyderabad,Tier 1,control,161,151,7,3,18.51,35.0,31081.0
2026-01-04,DS1041,Lucknow,Tier 2,control,75,73,2,0,18.16,35.0,13991.0
2026-01-04,DS1042,Jaipur,Tier 2,control,91,88,2,1,15.12,45.5,18992.0
2026-01-04,DS1043,Indore,Tier 2,control,82,76,5,1,14.0,67.5,15538.0
2026-01-04,DS1044,Bengaluru,Tier 1,treated,124,120,1,3,15.4,47.4,33436.0
2026-01-04,DS1045,Delhi NCR,Tier 1,treated,164,154,7,3,14.14,60.3,29183.0
2026-01-04,DS1046,Bengaluru,Tier 1,treated,140,138,2,0,16.07,45.0,27659.0
2026-01-04,DS1047,Bengaluru,Tier 1,treated,130,124,4,2,20.85,35.0,26269.0
2026-01-04,DS1048,Mumbai,Tier 1,treated,171,169,2,0,16.13,39.0,34303.0
2026-01-04,DS1049,Jaipur,Tier 2,control,119,117,1,1,13.07,71.0,23528.0
2026-01-04,DS1050,Chennai,Tier 1,control,116,110,5,1,15.85,39.7,29382.0
2026-01-04,DS1051,Chennai,Tier 1,control,159,152,4,3,15.39,50.3,30279.0
2026-01-04,DS1052,Jaipur,Tier 2,control,80,74,2,4,15.81,42.3,16710.0
2026-01-04,DS1053,Bhopal,Tier 2,control,80,75,1,4,13.96,63.1,12081.0
2026-01-04,DS1054,Pune,Tier 1,control,195,186,4,5,17.11,35.0,44476.0
2026-01-04,DS1055,Delhi NCR,Tier 1,treated,150,148,2,0,14.53,54.6,36678.0
2026-01-04,DS1056,Delhi NCR,Tier 1,treated,205,195,5,5,17.24,35.0,52736.0
2026-01-04,DS1057,Delhi NCR,Tier 1,treated,150,140,8,2,17.95,35.0,28256.0
2026-01-04,DS1058,Chennai,Tier 1,control,198,189,8,1,19.4,35.0,49517.0
2026-01-04,DS1059,Mumbai,Tier 1,treated,151,148,2,1,15.31,45.2,31206.0
2026-01-05,DS1000,Pune,Tier 1,control,186,177,5,4,15.71,47.3,43474.0
2026-01-05,DS1001,Bengaluru,Tier 1,treated,173,167,4,2,19.03,35.0,38917.0
2026-01-05,DS1002,Mumbai,Tier 1,treated,144,137,6,1,14.61,47.8,35391.0
2026-01-05,DS1003,Lucknow,Tier 2,control,69,63,6,0,17.24,35.0,12314.0
2026-01-05,DS1004,Pune,Tier 1,control,131,124,5,2,13.38,62.8,31147.0
2026-01-05,DS1005,Pune,Tier 1,control,137,130,6,1,15.82,39.3,30092.0
2026-01-05,DS1006,Pune,Tier 1,control,170,166,3,1,14.44,60.1,40218.0
2026-01-05,DS1007,Mumbai,Tier 1,treated,148,144,3,1,16.58,36.0,38359.0
2026-01-05,DS1008,Chennai,Tier 1,control,179,169,7,3,19.22,35.0,39606.0
2026-01-05,DS1009,Hyderabad,Tier 1,control,201,198,1,2,14.2,66.9,40417.0
2026-01-05,DS1010,Lucknow,Tier 2,control,74,72,2,0,18.33,35.0,13898.0
2026-01-05,DS1011,Pune,Tier 1,control,137,129,4,4,19.41,35.0,26904.0
2026-01-05,DS1012,Bengaluru,Tier 1,treated,181,172,6,3,16.52,35.0,33243.0
2026-01-05,DS1013,Pune,Tier 1,control,188,181,6,1,18.25,35.0,42687.0
2026-01-05,DS1014,Hyderabad,Tier 1,control,161,152,8,1,19.14,35.0,37821.0
2026-01-05,DS1015,Jaipur,Tier 2,control,117,113,2,2,15.38,43.8,25536.0
2026-01-05,DS1016,Mumbai,Tier 1,treated,187,180,4,3,14.94,48.6,46786.0
2026-01-05,DS1017,Chennai,Tier 1,control,125,117,5,3,13.47,71.9,27132.0
2026-01-05,DS1018,Bhopal,Tier 2,control,96,95,1,0,16.52,35.0,17994.0
2026-01-05,DS1019,Hyderabad,Tier 1,control,209,200,5,4,16.96,35.0,53932.0
2026-01-05,DS1020,Jaipur,Tier 2,control,112,109,2,1,17.34,35.0,19525.0
2026-01-05,DS1021,Bengaluru,Tier 1,treated,116,110,5,1,14.86,51.0,27606.0
2026-01-05,DS1022,Lucknow,Tier 2,control,125,121,3,1,14.67,59.8,28491.0
2026-01-05,DS1023,Mumbai,Tier 1,treated,190,182,6,2,15.86,41.5,42093.0
2026-01-05,DS1024,Mumbai,Tier 1,treated,215,210,4,1,17.58,35.0,66615.0
2026-01-05,DS1025,Jaipur,Tier 2,control,80,72,6,2,15.63,40.2,14403.0
2026-01-05,DS1026,Delhi NCR,Tier 1,treated,174,165,7,2,17.24,35.0,34350.0
2026-01-05,DS1027,Mumbai,Tier 1,treated,152,143,8,1,17.94,35.0,29235.0
2026-01-05,DS1028,Bhopal,Tier 2,control,131,127,3,1,16.29,35.0,29074.0
2026-01-05,DS1029,Jaipur,Tier 2,control,91,89,1,1,16.97,35.0,18980.0
2026-01-05,DS1030,Pune,Tier 1,control,227,214,10,3,17.24,35.0,41009.0
2026-01-05,DS1031,Mumbai,Tier 1,treated,154,146,7,1,16.83,35.0,36325.0
2026-01-05,DS1032,Chennai,Tier 1,control,187,173,10,4,17.63,35.0,38960.0
2026-01-05,DS1033,Jaipur,Tier 2,control,58,54,4,0,18.6,35.0,14822.0
2026-01-05,DS1034,Mumbai,Tier 1,treated,146,138,7,1,17.36,35.0,38194.0
2026-01-05,DS1035,Pune,Tier 1,control,192,182,7,3,16.4,35.0,43048.0
2026-01-05,DS1036,Lucknow,Tier 2,control,91,83,6,2,14.24,60.1,19766.0
2026-01-05,DS1037,Lucknow,Tier 2,control,114,109,4,1,17.15,35.0,23267.0
2026-01-05,DS1038,Delhi NCR,Tier 1,treated,182,173,6,3,11.36,85.2,41196.0
2026-01-05,DS1039,Lucknow,Tier 2,control,69,62,5,2,12.96,76.7,13475.0
2026-01-05,DS1040,Hyderabad,Tier 1,control,171,162,6,3,16.92,35.0,38109.0
2026-01-05,DS1041,Lucknow,Tier 2,control,94,87,3,4,17.37,35.0,18768.0
2026-01-05,DS1042,Jaipur,Tier 2,control,81,75,5,1,15.53,47.4,15253.0
2026-01-05,DS1043,Indore,Tier 2,control,99,94,3,2,14.57,56.9,19675.0
2026-01-05,DS1044,Bengaluru,Tier 1,treated,155,152,2,1,15.81,45.5,36063.0
2026-01-05,DS1045,Delhi NCR,Tier 1,treated,175,165,5,5,17.1,35.0,32023.0
2026-01-05,DS1046,Bengaluru,Tier 1,treated,124,118,3,3,15.3,46.7,26934.0
2026-01-05,DS1047,Bengaluru,Tier 1,treated,116,109,5,2,18.19,35.0,24206.0
2026-01-05,DS1048,Mumbai,Tier 1,treated,169,161,6,2,17.12,35.0,41520.0
2026-01-05,DS1049,Jaipur,Tier 2,control,108,101,5,2,14.5,57.2,16294.0
2026-01-05,DS1050,Chennai,Tier 1,control,104,98,5,1,15.44,42.9,24676.0
2026-01-05,DS1051,Chennai,Tier 1,control,146,139,6,1,17.17,35.0,33146.0
